artifact_type,filename,rows,columns,status
table,table_phase13_4d_final_dataset_sensitivity_summary.csv,8.0,9.0,AVAILABLE
table,table_phase14_2_ablation_results.csv,12.0,16.0,AVAILABLE
table,table_phase14_2_ablation_summary.csv,12.0,11.0,AVAILABLE
table,table_phase14_3_ablation_comparisons.csv,10.0,11.0,AVAILABLE
table,table_phase14_4_final_ablation_summary.csv,12.0,11.0,AVAILABLE
table,table_phase15_2_long_form_results.csv,672.0,7.0,AVAILABLE
table,table_phase15_3_descriptive_summary.csv,224.0,10.0,AVAILABLE
table,table_phase15_4_paired_defense_differences.csv,504.0,8.0,AVAILABLE
table,table_phase15_5_friedman_tests.csv,56.0,5.0,AVAILABLE
table,table_phase15_5_wilcoxon_pairwise_tests.csv,168.0,14.0,AVAILABLE
table,table_phase15_5_wilcoxon_results.csv,168.0,14.0,AVAILABLE
table,table_phase15_6_statistical_effect_summary.csv,168.0,16.0,AVAILABLE
table,table_phase15_7_dataset_statistical_summary.csv,2.0,8.0,AVAILABLE
table,table_phase15_7_statistical_interpretation.csv,4.0,4.0,AVAILABLE
table,table_phase15_8_dataset_statistical_summary.csv,2.0,8.0,AVAILABLE
table,table_phase15_8_final_statistical_reporting.csv,168.0,20.0,AVAILABLE
table,table_phase15_8_interpretation_summary.csv,7.0,3.0,AVAILABLE
table,table_phase15_9_computational_reporting_status.csv,8.0,2.0,AVAILABLE
table,table_phase15_9_reproducibility_summary.csv,7.0,2.0,AVAILABLE
table,table_phase16_2_master_results_inventory.csv,6.0,5.0,AVAILABLE
table,table_phase16_3_figure_inventory.csv,6.0,4.0,AVAILABLE
table,table_phase17_2_h1_evidence.csv,72.0,22.0,AVAILABLE
table,table_phase17_2_h2_evidence.csv,32.0,22.0,AVAILABLE
table,table_phase17_2_h3_evidence.csv,120.0,8.0,AVAILABLE
table,table_phase17_2_hypothesis_evidence_summary.csv,3.0,4.0,AVAILABLE
table,table_phase17_3_h1_evidence_audit.csv,5.0,2.0,AVAILABLE
table,table_phase17_3_hypothesis_decisions.csv,3.0,4.0,AVAILABLE
table,table_phase17_4_final_hypothesis_summary.csv,3.0,6.0,AVAILABLE
