artifact_key,filename,rows,columns,sha256
attack_distribution,table_attack_distribution.csv,16,4,60512869c411c5a7dd2b6e3f19dd4128b9222fb2e0225f3b4cbeeded682a3eb2
poisoned_summary,table_poisoned_summary.csv,2,6,a1f3f608e2eb7fba9a30b4e291ff098b402d95c06d9f9e12c68cc23b7d0a8497
malmem_manifest,trusted_manifest_malmem.csv,42039,2,70fead074da591cce5d79e3b7a4a5542509809acb70396455535f1d7f639756a
android_manifest,trusted_manifest_android.csv,6091,2,97ef205f1f77c675a19a764b1a50e0b368771b3a48b441d166d7837c6f2dfe3f
anomaly_performance,table_anomaly_detection_performance.csv,2,13,90235b1a51456cd1c7fbc471a630b4204ad0964208a3e3e8a4bbad8d22b63838
ablation,table_phase18_14_ablation_study.csv,12,6,f49e859b50a296000053271659cfd6c21175818c557a3ad6c28f29f8151e6e34
rate_robustness,table_phase18_11_poisoning_rate_sensitivity.csv,32,8,04dbdd914e5c3fef85d82362a0729ec0069b12e3bfe7a8df163c7ce8a7f929a6
statistics,table_phase18_15_statistical_comparison.csv,168,5,ca12e32526a032bb29e0fac0104203226cd2d2ba7ab756b66840f8ddafeb3a37
rq_synthesis,table_phase19_12_final_rq_synthesis.csv,6,5,8b161c384348519c79719c55efcdcd4b9ce41ffa15ed36858d987a685676f815
