dataset,rows,columns,numeric_columns,non_numeric_columns,has_Class,has_attack_type,has_original_label,has_source_index
CIC-MalMem-2022,58596,59,56,3,True,True,True,True
Supplied Android Dataset,11598,474,471,3,True,True,True,True
