dataset,poisoning_rate,defense,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,retention_mean,retention_std,retention_min,retention_max,poison_removal_rate_mean,poison_removal_rate_std,poison_removal_rate_min,poison_removal_rate_max,accuracy_seed_range,macro_precision_seed_range,macro_recall_seed_range,macro_f1_seed_range,balanced_accuracy_seed_range,retention_seed_range,poison_removal_rate_seed_range,accuracy_cv,macro_precision_cv,macro_recall_cv,macro_f1_cv,balanced_accuracy_cv,retention_cv,poison_removal_rate_cv
Android,0.01,E1_No_Defense,0.9255628177196806,0.0016639708405794395,0.9237472766884532,0.9270152505446624,0.9166604971900897,0.002682532272251837,0.9137924217752038,0.9191077411709874,0.913052277435123,0.0034417824165208547,0.9093295048640088,0.9161184829977884,0.9138735680687159,0.0025550641265564933,0.9109284813924348,0.9154984302917952,0.913052277435123,0.0034417824165208547,0.9093295048640088,0.9161184829977884,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0032679738562091387,0.005315319395783558,0.006788978133779655,0.004569948899360465,0.006788978133779655,0.0,0.0,0.0017977935248943804,0.002926418538242687,0.003769534890367119,0.0027958617207368155,0.003769534890367119,0.0,
Android,0.01,E2_Integrity_Only,0.9222948438634714,0.0012578437237246757,0.9215686274509804,0.9237472766884532,0.9127861468077706,0.00264539990299177,0.9105297188834072,0.9156974873536148,0.9087560864415695,0.0020416848618296573,0.9064000894795428,0.9100078128766748,0.910045391280147,0.0017165810826733274,0.9088226522145744,0.9120078094784276,0.9087560864415695,0.0020416848618296573,0.9064000894795428,0.9100078128766748,0.9892075238976257,0.00013352226391992998,0.9891304347826086,0.9893617021276596,0.9689922480620154,0.01342675044627039,0.9534883720930232,0.9767441860465116,0.002178649237472796,0.005167768470207612,0.003607723397132001,0.0031851572638532666,0.003607723397132001,0.00023126734505096724,0.023255813953488413,0.001363819533518802,0.0028981595658998114,0.0022466808115963383,0.0018862587505208272,0.0022466808115963383,0.00013497902178688683,0.013856406460551043
Android,0.01,E3_Anomaly_Only,0.9212055192447349,0.0016639708405794395,0.9193899782135077,0.9226579520697168,0.9119238205672978,0.002425445879299886,0.9091517118970336,0.9136553424893286,0.9083222257481225,0.0027771249815910825,0.9053111497185108,0.9107830066751244,0.9091112112642629,0.002594047899070154,0.906144096903789,0.9109500975617598,0.9083222257481225,0.0027771249815910825,0.9053111497185108,0.9107830066751244,0.9508171446191799,0.00013352226391983384,0.9507400555041629,0.9509713228492136,0.03875968992248057,0.013426750446270385,0.0232558139534883,0.0465116279069767,0.0032679738562091387,0.0045036305922949715,0.005471856956613563,0.004806000657970766,0.005471856956613563,0.0002312673450507452,0.023255813953488403,0.001806297081180834,0.002659702295956084,0.003057422688632061,0.002853388965979993,0.003057422688632061,0.00014042896121031979,0.34641016151377635
Android,0.01,E4_PoisonShield,0.9230210602759623,0.0016639708405794425,0.9215686274509804,0.9248366013071896,0.912010897124126,0.00178385581505362,0.9107027192495576,0.9140428991774184,0.910662196785225,0.0018055640970667185,0.9085970857144504,0.9119428428436868,0.9106089541014901,0.001794720802058442,0.9091538338155134,0.9126143997919144,0.910662196785225,0.0018055640970667185,0.9085970857144504,0.9119428428436868,0.9820382362010484,0.00013352226391992998,0.9819611470860314,0.9821924144310824,0.9689922480620154,0.01342675044627039,0.9534883720930232,0.9767441860465116,0.0032679738562091387,0.0033401799278608424,0.0033457571292363486,0.0034605659764009866,0.0033457571292363486,0.00023126734505096724,0.023255813953488413,0.0018027441758283966,0.00195595888237598,0.0019826935865358553,0.001970901772901318,0.0019826935865358553,0.0001359644248033073,0.013856406460551043
Android,0.05,E1_No_Defense,0.9230210602759623,0.002741406839241444,0.920479302832244,0.925925925925926,0.9144617729790667,0.005070594751822414,0.9091724868274892,0.919280932125676,0.9089618540607374,0.0010669149045798953,0.907790192541343,0.9098774034528964,0.9109950698406557,0.0031355904127834443,0.9076824388212362,0.9139170014191732,0.9089618540607374,0.0010669149045798953,0.907790192541343,0.9098774034528964,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005446623093682046,0.010108445298186775,0.0020872109115533943,0.006234562597936977,0.0020872109115533943,0.0,0.0,0.0029700371499885667,0.005544895261508637,0.001173773024482283,0.0034419400462089196,0.001173773024482283,0.0,
Android,0.05,E2_Integrity_Only,0.9226579520697168,0.0021786492374727684,0.920479302832244,0.9248366013071896,0.91366790738466,0.0033577936219936523,0.9102830679977242,0.9169979853915092,0.9092554411488419,0.001794178273696416,0.9078218919160008,0.9112675065146968,0.9106813734445455,0.0025108569789273802,0.9084653110036324,0.9134084177014256,0.9092554411488419,0.001794178273696416,0.9078218919160008,0.9112675065146968,0.946959609409676,0.001235633458240056,0.9456280514869064,0.948069241011984,0.9585185185185185,0.013578002059128388,0.9466666666666668,0.9733333333333334,0.004357298474945592,0.006714917393785047,0.0034456145986959674,0.004943106697793187,0.0034456145986959674,0.0024411895250775473,0.026666666666666616,0.0023612750885478174,0.003675070115579752,0.0019732389738899734,0.0027571190672653796,0.0019732389738899734,0.0013048428316919831,0.014165612658286959
Android,0.05,E3_Anomaly_Only,0.9212055192447349,0.003501688729481927,0.9172113289760347,0.9237472766884532,0.9129394151897686,0.003415455751654565,0.9089982949017696,0.915036530255254,0.9073369759210242,0.00534708613384676,0.9013083489185032,0.911505876998492,0.9090151164049799,0.0041168288809918,0.9043673926322118,0.9122034306234232,0.9073369759210242,0.00534708613384676,0.9013083489185032,0.911505876998492,0.9511022340582925,0.0010487828731141813,0.9502885042166,0.9522858411007544,0.041481481481481404,0.021003625005567145,0.0177777777777777,0.0577777777777777,0.0065359477124184995,0.006038235353484356,0.010197528079988749,0.007836037991211464,0.010197528079988749,0.001997336884154377,0.039999999999999994,0.0038012025072894076,0.0037411636465981804,0.005893164585758243,0.004528889351448025,0.005893164585758243,0.001102702565042973,0.5063373885270661
Android,0.05,E4_PoisonShield,0.9230210602759623,0.0016639708405795154,0.9215686274509804,0.9248366013071896,0.9122985500163754,0.00350516720944387,0.909024153471259,0.9159960741406274,0.9097456239140156,0.0014967046158173248,0.908630572750918,0.911446661797538,0.9099874790703196,0.00210788248355194,0.907607239087984,0.91161806674967,0.9097456239140156,0.0014967046158173248,0.908630572750918,0.911446661797538,0.9400798934753661,0.001235633458240188,0.9387483355525964,0.9411895250776742,0.9585185185185185,0.013578002059128388,0.9466666666666668,0.9733333333333334,0.0032679738562091387,0.00697192066936847,0.0028160890466200073,0.004010827661686034,0.0028160890466200073,0.0024411895250777693,0.026666666666666616,0.0018027441758284755,0.003842127348970305,0.0016451902339227802,0.00231638624929811,0.0016451902339227802,0.0013143919647852426,0.014165612658286959
Android,0.1,E1_No_Defense,0.9244734931009441,0.0038255823358216653,0.920479302832244,0.9281045751633988,0.9163961583795546,0.004476327825157367,0.9113341508371152,0.9198324634975608,0.9095040704881568,0.0048529255278885524,0.9040813655009377,0.9134387745851182,0.9121302580984207,0.004821455786654329,0.9066857562313834,0.9158597257253736,0.9095040704881568,0.0048529255278885524,0.9040813655009377,0.9134387745851182,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.007625272331154842,0.00849831266044554,0.00935740908418059,0.009173969493990186,0.00935740908418059,0.0,0.0,0.0041381200914583135,0.00488470819549568,0.005335793082579442,0.005285929003940667,0.005335793082579442,0.0,
Android,0.1,E2_Integrity_Only,0.9222948438634714,0.0012578437237246917,0.9215686274509804,0.9237472766884532,0.9125295032925314,0.0025742356887146745,0.9105077745177248,0.915427468353426,0.9083372818291373,0.0008263367923747989,0.9074934930631656,0.9091449843033385,0.909598494751768,0.0017852161337931444,0.9085034672973852,0.9116585172557824,0.9083372818291373,0.0008263367923747989,0.9074934930631656,0.9091449843033385,0.8937005115268727,0.0015207437750830509,0.8919487071683835,0.8946815219676266,0.9586834733893558,0.008490445135141597,0.953781512605042,0.9684873949579832,0.002178649237472796,0.004919693835701233,0.001651491240172831,0.003155049958397216,0.001651491240172831,0.002732814799243144,0.014705882352941235,0.0013638195335188192,0.0028209889975354,0.0009097246242175458,0.0019626419173883252,0.0009097246242175458,0.0017016257185361627,0.008856359132930753
Android,0.1,E3_Anomaly_Only,0.9244734931009441,0.0016639708405795275,0.9226579520697168,0.925925925925926,0.9192468608634687,0.0036722085182516145,0.915460963634794,0.9227936994475304,0.9107305568574745,0.003164820564996317,0.9084532074222856,0.9143443778073465,0.9136719572904326,0.0026545799820458307,0.910660949448918,0.9156746218641296,0.9107305568574745,0.003164820564996317,0.9084532074222856,0.9143443778073465,0.9512297666596594,0.0007579464526938605,0.9505991170906032,0.9520706327517344,0.04411764705882346,0.007574687553495734,0.0357142857142857,0.0504201680672268,0.0032679738562092497,0.007332735812736413,0.005891170385060818,0.005013672415211667,0.005891170385060818,0.0014715156611312397,0.014705882352941103,0.0017999118990400702,0.003994801260242791,0.0034750350047732044,0.0029053972389808265,0.0034750350047732044,0.0007968069117049049,0.17169291787923688
Android,0.1,E4_PoisonShield,0.9233841684822077,0.0016639708405794637,0.9215686274509804,0.9248366013071896,0.913587929505746,0.001853342885271861,0.9117635164451204,0.915468907210564,0.9104767634536453,0.002278052516260607,0.9078700318427212,0.9120854749620376,0.911146600302124,0.001466678027685142,0.9098135983948956,0.912717796714657,0.9104767634536453,0.002278052516260607,0.9078700318427212,0.9120854749620376,0.8872538714876322,0.0015917338226614519,0.8854319949548034,0.8883750262770653,0.9586834733893558,0.008490445135141597,0.953781512605042,0.9684873949579832,0.0032679738562091387,0.003705390765443517,0.004215443119316431,0.0029041983197614085,0.004215443119316431,0.002943031322261924,0.014705882352941235,0.001802035271315707,0.0020286420446409856,0.002502043553115443,0.0016097058664311663,0.002502043553115443,0.0017940004251462312,0.008856359132930753
Android,0.2,E1_No_Defense,0.9208424110384895,0.0016639708405794668,0.9193899782135077,0.9226579520697168,0.9185940474959128,0.0029521119930900775,0.9155079978344928,0.9213909416719628,0.9033077467146072,0.0029217292420581588,0.8999346864087654,0.905052155134291,0.9097204948894534,0.0028467219100390953,0.9065310266002496,0.9120039195721198,0.9033077467146072,0.0029217292420581588,0.8999346864087654,0.905052155134291,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0032679738562091387,0.005882943837470012,0.0051174687255256535,0.005472892971870147,0.0051174687255256535,0.0,0.0,0.00180700934343685,0.003213728633597762,0.003234478230353598,0.00312922697249447,0.003234478230353598,0.0,
Android,0.2,E2_Integrity_Only,0.9230210602759623,0.0016639708405795154,0.9215686274509804,0.9248366013071896,0.9132373527547202,0.002679035319231595,0.911288674479144,0.916292369660788,0.9086281884377053,0.0025451490495483845,0.9069309415840257,0.9115546228575552,0.910372900368254,0.0024250717185923566,0.9086597951444612,0.9131477662260716,0.9086281884377053,0.0025451490495483845,0.9069309415840257,0.9115546228575552,0.7891359870429203,0.002182056922461473,0.7867688282564007,0.7910670902635022,0.9545171339563862,0.005476135772974176,0.950467289719626,0.9607476635514018,0.0032679738562091387,0.005003695181644008,0.004623681273529523,0.004487971081610476,0.004623681273529523,0.004298262007101483,0.010280373831775824,0.0018027441758284755,0.0029335586319925062,0.002801089688758734,0.0026638223936712013,0.002801089688758734,0.0027651215484902135,0.005737074357456628
Android,0.2,E3_Anomaly_Only,0.9175744371822803,0.004535220042409905,0.9139433551198256,0.9226579520697168,0.9123561468106168,0.004945725562253835,0.9085260515729152,0.9179397062789418,0.9001361612996969,0.006341916888631243,0.8956327925364281,0.9073888118038737,0.9045962466781755,0.005820228818374099,0.9001879591032894,0.9111936027289927,0.9001361612996969,0.006341916888631243,0.8956327925364281,0.9073888118038737,0.9525322369650532,0.0014595869325184708,0.9508503083535788,0.9534666417492056,0.0401869158878504,0.007299298762529561,0.0355140186915887,0.0485981308411214,0.008714596949891185,0.00941365470602662,0.011756019267445517,0.011005643625703332,0.011756019267445517,0.0026163333956268353,0.0130841121495327,0.004942618122990455,0.005420827797941552,0.007045508403388902,0.006434062533143295,0.007045508403388902,0.0015323228714746592,0.18163371339317774
Android,0.2,E4_PoisonShield,0.9222948438634714,0.001663970840579503,0.920479302832244,0.9237472766884532,0.9145175972822148,0.00214383537243761,0.9128630899262667,0.9169395246449752,0.9082718812400549,0.0011508679598054706,0.9070424802600612,0.909323533653837,0.9105642976867961,0.00142452874015952,0.9093600760014574,0.912136805216888,0.9082718812400549,0.0011508679598054706,0.9070424802600612,0.909323533653837,0.7834672646857285,0.0023515338052920868,0.7809755185946552,0.7856475425154177,0.954828660436137,0.005314243647735867,0.950467289719626,0.9607476635514018,0.0032679738562092497,0.004076434718708444,0.0022810533937758226,0.0027767292154305956,0.0022810533937758226,0.004672023920762491,0.010280373831775824,0.0018041636594314768,0.002344225391407132,0.0012670963216809064,0.0015644460734715853,0.0012670963216809064,0.0030014448736864017,0.005565651585393845
MalMem,0.01,E1_No_Defense,0.9123887748117726,0.0005980001417154563,0.9117043121149896,0.9128099826251777,0.7851371862726534,0.0015970282858366852,0.7833267411061473,0.7863460790224831,0.7846567278269868,0.0014432214332386394,0.7829969252833701,0.7856157791762708,0.7848652367003863,0.0014990883836163804,0.7831479011298168,0.7859118802432464,0.7846567278269868,0.0014432214332386394,0.7829969252833701,0.7856157791762708,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0011056705101880615,0.003019337916335796,0.00261885389290073,0.0027639791134296265,0.00261885389290073,0.0,0.0,0.0006554225109124395,0.0020340754631918397,0.0018393029487371745,0.0019099946252156927,0.0018393029487371745,0.0,
MalMem,0.01,E2_Integrity_Only,0.9134944453219607,0.0015583266031643822,0.9117043121149896,0.9145474648554732,0.7875237435491438,0.003831938640874697,0.7831178797577942,0.7900802669273027,0.7873827130114267,0.0038033027417160824,0.7830092506027808,0.789915466852677,0.787410441824854,0.0038223342981802367,0.7830129150880611,0.7899356380905496,0.7873827130114267,0.0038033027417160824,0.7830092506027808,0.789915466852677,0.9897673067685467,0.0002537577597908957,0.9894768591440732,0.9899460437682228,0.941834451901566,0.012704492943624674,0.9328859060402684,0.9563758389261744,0.0028431527404836343,0.006962387169508477,0.00690621624989618,0.006922723002488418,0.00690621624989618,0.00046918462414957673,0.02348993288590595,0.0017058960907147616,0.004865807122976696,0.00483031018952646,0.004854309893734493,0.00483031018952646,0.0002563812302705569,0.01348909345795779
