dataset,E1_macro_f1,E4_macro_f1,E4_minus_E1_macro_f1,E1_accuracy,E4_accuracy,E4_minus_E1_accuracy,E1_balanced_accuracy,E4_balanced_accuracy,E4_minus_E1_balanced_accuracy
MalMem,0.8385542466796798,0.7771012014005344,-0.06145304527914541,0.9306586637182119,0.9088611593745064,-0.02179750434370553,0.8291965558455121,0.7761886320205438,-0.05300792382496833
Android,0.92460485705776,0.9079981550652414,-0.01660670199251857,0.9313725490196079,0.920479302832244,-0.01089324618736387,0.915464719127742,0.9064628822965156,-0.00900183683122635
