dataset,training_condition,accuracy,macro_precision,macro_recall,macro_f1
Android,E1_No_Defense,0.9234749455337692,0.9165281190111559,0.9087064871746561,0.9116798477243114
Android,E2_Integrity_Only,0.9225671750181554,0.9130552275599205,0.9087442494643135,0.9101745399611786
Android,E3_Anomaly_Only,0.9211147421931735,0.914116560857788,0.9066314799565797,0.9090986329094628
Android,E4_PoisonShield,0.9229302832244008,0.9131037434821155,0.9097891163482353,0.9105768327901824
MalMem,E1_No_Defense,0.9162322961090927,0.7976962841197515,0.7940046322087824,0.7957533095261587
MalMem,E2_Integrity_Only,0.9163507608066129,0.7944485243463366,0.7943792706409449,0.7943555737201232
MalMem,E3_Anomaly_Only,0.9077554888643183,0.7780214785726015,0.7763779247474623,0.7771492354943669
MalMem,E4_PoisonShield,0.9126783551834886,0.7870364139495623,0.7856266708860219,0.7862392616280088
