Dataset,Threshold,Precision,Recall,F1,ROC-AUC,PR-AUC,FPR,FNR
MalMem,0.95,0.4260304912478825,0.092045870440405,0.151384430176565,0.7385937144806902,0.427587547563175,0.0481730723662385,0.907954129559595
Android,0.95,0.4280373831775701,0.0417806969531107,0.0761303191489361,0.4686820376137317,0.4426541817287768,0.0500245218244237,0.9582193030468892
