dataset,defense,accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,balanced_accuracy_mean,retention_mean,poison_removal_rate_mean
Android,E1_No_Defense,0.9234749455337692,0.916528119011156,0.908706487174656,0.9116798477243114,0.908706487174656,1.0,0.0
Android,E2_Integrity_Only,0.9225671750181554,0.9130552275599204,0.9087442494643136,0.9101745399611786,0.9087442494643136,0.9047509079692736,0.960177843481569
Android,E3_Anomaly_Only,0.9211147421931736,0.914116560857788,0.9066314799565796,0.9090986329094628,0.9066314799565796,0.9514203455755462,0.0411364335876589
Android,E4_PoisonShield,0.9229302832244008,0.9131037434821156,0.9097891163482352,0.9105768327901824,0.9097891163482352,0.8982098164624438,0.9602557251015066
MalMem,E1_No_Defense,0.9162322961090928,0.7976962841197515,0.7940046322087824,0.7957533095261587,0.7940046322087824,1.0,0.0
MalMem,E2_Integrity_Only,0.9163507608066128,0.7944485243463366,0.7943792706409449,0.7943555737201232,0.7943792706409449,0.9053492279569084,0.9507639122190832
MalMem,E3_Anomaly_Only,0.9077554888643184,0.7780214785726015,0.7763779247474623,0.7771492354943669,0.7763779247474623,0.9488274586952558,0.0947630637099917
MalMem,E4_PoisonShield,0.9126783551834886,0.7870364139495623,0.7856266708860219,0.7862392616280088,0.7856266708860219,0.893277037418589,0.9518531735547634
