dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
MalMem,0.8,0.1999999999999999,0.975,0.5612503098290862,0.0251184834123222,0.9550720542526138,0.2061729901183359,0.3391361059549491,0.92118064810441,0.9494209821030266,6171,159,13014,3380
MalMem,0.8,0.1999999999999999,0.99,0.6406846712642893,0.0101105845181674,0.970574712643678,0.1287666219348542,0.2273681943023318,0.92118064810441,0.9494209821030266,6266,64,14283,2111
MalMem,0.9,0.0999999999999999,0.9,0.438409730005469,0.1003159557661927,0.8828845444485429,0.2919970720995486,0.4388522185551888,0.8402926088822616,0.8958109563373364,5695,635,11607,4787
MalMem,0.9,0.0999999999999999,0.95,0.5569166192583143,0.0500789889415481,0.8905008635578584,0.157252653409784,0.2673026077038726,0.8402926088822616,0.8958109563373364,6013,317,13816,2578
MalMem,0.9,0.0999999999999999,0.975,0.6314065985577221,0.0251184834123222,0.9193302891933028,0.1105282420397706,0.1973318812959433,0.8402926088822616,0.8958109563373364,6171,159,14582,1812
MalMem,0.9,0.0999999999999999,0.99,0.7207702551723255,0.0101105845181674,0.9392789373814042,0.0603879468098084,0.1134800550206327,0.8402926088822616,0.8958109563373364,6266,64,15404,990
MalMem,1.0,0.0,0.9,0.487121922228299,0.1003159557661927,0.8163678426836322,0.1721971452970599,0.2844045939955672,0.737777451427631,0.8315638209145988,5695,635,13571,2823
MalMem,1.0,0.0,0.95,0.6187962436203491,0.0500789889415481,0.8263964950711938,0.092045870440405,0.165642151481888,0.737777451427631,0.8315638209145988,6013,317,14885,1509
MalMem,1.0,0.0,0.975,0.7015628872863577,0.0251184834123222,0.8537258509659613,0.0566060753934366,0.1061724157656884,0.737777451427631,0.8315638209145988,6171,159,15466,928
MalMem,1.0,0.0,0.99,0.8008558390803616,0.0101105845181674,0.8998435054773083,0.0350738074905453,0.0675159983561322,0.737777451427631,0.8315638209145988,6266,64,15819,575
