Dataset,Precision,Recall,F1,PR-AUC,FPR,Retention
Android,0.9399139784827707,0.9989053092501369,0.9685114541000163,0.981405275615992,0.008173941474579,
MalMem,0.8084225060407318,1.0,0.8940637526245466,1.0,0.013151035495948,
