dataset,poisoning_rate,seed,defense_count
Android,0.01,42,4
Android,0.01,123,4
Android,0.01,2026,4
Android,0.05,42,4
Android,0.05,123,4
Android,0.05,2026,4
Android,0.1,42,4
Android,0.1,123,4
Android,0.1,2026,4
Android,0.2,42,4
Android,0.2,123,4
Android,0.2,2026,4
MalMem,0.01,42,4
MalMem,0.01,123,4
MalMem,0.01,2026,4
MalMem,0.05,42,4
MalMem,0.05,123,4
MalMem,0.05,2026,4
MalMem,0.1,42,4
MalMem,0.1,123,4
MalMem,0.1,2026,4
MalMem,0.2,42,4
MalMem,0.2,123,4
MalMem,0.2,2026,4
