dataset,poisoning_rate,metric,comparison,n_pairs,mean_difference,median_difference,rank_biserial_effect,wilcoxon_statistic,p_value,holm_p_value,holm_reject,effect_direction,friedman_statistic,friedman_p_value,friedman_significant_05,statistically_significant_raw,statistically_significant_holm,absolute_effect,practical_effect_magnitude,positive_difference,holm_significant
MalMem,0.1,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.014583522245142,0.0090004764962539,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.014583522245142,1.0,True,False
MalMem,0.1,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0067451008661318,-0.0061796377397228,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0067451008661318,1.0,False,False
MalMem,0.1,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0072264188631534,-0.0067645169678651,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0072264188631534,1.0,False,False
MalMem,0.1,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0147574671102509,0.009299479727452,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.0147574671102509,1.0,True,False
MalMem,0.2,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.0099481184235655,-0.0124216896308964,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0099481184235655,1.0,False,False
MalMem,0.2,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0078112341684407,-0.0067573768470282,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0078112341684407,1.0,False,False
MalMem,0.2,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0074575587441478,0.007203740692708,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.0074575587441478,1.0,True,False
MalMem,0.2,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0136153309111974,-0.0152403556781439,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True,False,False,0.0136153309111974,1.0,False,False
MalMem,0.2,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0070840412624985,-0.0058695771648791,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True,False,False,0.0070840412624985,1.0,False,False
MalMem,0.2,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0041389211481871,0.0045336541875974,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True,False,False,0.0041389211481871,1.0,True,False
MalMem,0.2,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0099481184235655,-0.0124216896308964,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0099481184235655,1.0,False,False
MalMem,0.2,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0078112341684407,-0.0067573768470282,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0078112341684407,1.0,False,False
MalMem,0.2,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0074575587441478,0.007203740692708,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.0074575587441478,1.0,True,False
Android,0.01,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.0023900806498978,-0.0022621826460336,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,4.200000000000003,0.2406618852096149,False,False,False,0.0023900806498978,1.0,False,False
Android,0.01,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0019061103436554,0.0020824858751955,0.6666666666666666,1.0,0.5,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False,False,False,0.0019061103436554,0.6666666666666666,True,False
Android,0.01,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0023399710371024,0.0025741409468054,1.0,0.0,0.25,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False,False,False,0.0023399710371024,1.0,True,False
Android,0.01,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0032646139672258,-0.0025793927300036,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,5.800000000000004,0.1217566197112534,False,False,False,0.0032646139672258,1.0,False,False
Android,0.01,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,0.000563562821343,0.0006065903134867,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,5.800000000000004,0.1217566197112534,False,False,False,0.000563562821343,0.6666666666666666,True,False
Android,0.01,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0014977428372272,0.0016643022301545,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,5.800000000000004,0.1217566197112534,False,False,False,0.0014977428372272,0.6666666666666666,True,False
Android,0.01,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0023900806498978,-0.0022621826460336,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,4.200000000000003,0.2406618852096149,False,False,False,0.0023900806498978,1.0,False,False
Android,0.01,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0019061103436554,0.0020824858751955,0.6666666666666666,1.0,0.5,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False,False,False,0.0019061103436554,0.6666666666666666,True,False
Android,0.01,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0023399710371024,0.0025741409468054,1.0,0.0,0.25,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False,False,False,0.0023399710371024,1.0,True,False
Android,0.05,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,0.0007837698532782,-0.0005873934370548,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False,False,False,0.0007837698532782,0.0,True,False
Android,0.05,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0004901827651735,0.0008086808349171,0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False,False,False,0.0004901827651735,0.3333333333333333,True,False
Android,0.05,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0024086479929913,-3.7064652486762384e-05,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False,False,False,0.0024086479929913,0.0,True,False
Android,0.05,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0010075907703359,0.0002322974681124,0.0,3.0,1.0,1.0,False,PoisonShield_lower,0.2000000000000028,0.9775892977616488,False,False,False,0.0010075907703359,0.0,False,False
Android,0.05,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0006938943742258,0.0005667397447262,0.0,3.0,1.0,1.0,False,PoisonShield_lower,0.2000000000000028,0.9775892977616488,False,False,False,0.0006938943742258,0.0,False,False
Android,0.05,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0009723626653398,-0.0014662992501182,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False,False,False,0.0009723626653398,0.0,True,False
Android,0.05,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,0.0007837698532782,-0.0005873934370548,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False,False,False,0.0007837698532782,0.0,True,False
Android,0.05,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0004901827651735,0.0008086808349171,0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False,False,False,0.0004901827651735,0.3333333333333333,True,False
Android,0.05,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0024086479929913,-3.7064652486762384e-05,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False,False,False,0.0024086479929913,0.0,True,False
Android,0.1,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,0.0009726929654884,0.0010934035836228,0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_higher,2.6000000000000014,0.4574895468781833,False,False,False,0.0009726929654884,0.3333333333333333,True,False
Android,0.1,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,0.002139481624508,0.0023297992528387,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,2.6000000000000014,0.4574895468781833,False,False,False,0.002139481624508,0.6666666666666666,True,False
