dataset,precision,recall,f1,roc_auc,pr_auc,fpr,fnr
Android,0.9399139784827707,0.9989053092501369,0.9685114541000163,0.9989620391778312,0.981405275615992,0.008173941474579042,0.0010946907498631637
MalMem,0.8084225060407318,1.0,0.8940637526245466,1.0,1.0,0.013151035495948057,0.0
