dataset,E1_No_Defense_Macro_F1,E2_Integrity_Only_Macro_F1,E3_Anomaly_Only_Macro_F1,E4_PoisonShield_Macro_F1,PoisonShield_vs_NoDefense,PoisonShield_vs_Integrity,PoisonShield_vs_Anomaly
Android,0.92460485705776,0.914835979842984,0.9211956541287092,0.9079981550652414,-0.01660670199251857,-0.00683782477774264,-0.013197499063467788
MalMem,0.8385542466796798,0.7877866064633299,0.8142092787615608,0.7771012014005344,-0.06145304527914541,-0.010685405062795472,-0.03710807736102639
