dataset,friedman_tests,friedman_raw_significant,wilcoxon_comparisons,holm_significant,mean_effect,median_effect,mean_rank_biserial_effect
Android,84,27,84,0,0.08221448317606181,0.08231001409428661,0.06746031746031747
MalMem,84,84,84,0,0.07619154672306608,0.07593425280598766,-0.22222222222222224
