dataset,n_attacks,mean_integrity_f1,mean_anomaly_f1,mean_poisonshield_f1,mean_gain_vs_integrity,mean_gain_vs_anomaly,mean_gain_vs_best_individual,poisonshield_better_than_both_count,interpretation
Android,7,0.9956347054446671,0.05830722482172177,0.968511454100016,-0.02712325134465088,0.9102042292782945,-0.02712325134465088,0,PoisonShield did not outperform both individual evidence sources for any tested attack.
MalMem,7,1.0,0.09356440361809056,0.8940637526245466,-0.10593624737545337,0.800499349006456,-0.10593624737545337,0,PoisonShield did not outperform both individual evidence sources for any tested attack.
