dataset,poisoning_rate,seed,metric,comparison,poisonshield_value,baseline_value,absolute_difference
Android,0.01,2026,macro_precision,PoisonShield_vs_Integrity_Only,0.9112870729454016,0.9105297188834072,0.0007573540619943975
Android,0.01,2026,macro_precision,PoisonShield_vs_Anomaly_Only,0.9112870729454016,0.9091517118970336,0.0021353610483679786
Android,0.01,2026,macro_recall,PoisonShield_vs_No_Defense,0.9085970857144504,0.9093295048640088,-0.0007324191495583499
Android,0.01,2026,macro_recall,PoisonShield_vs_Integrity_Only,0.9085970857144504,0.9100078128766748,-0.0014107271622243456
Android,0.01,2026,macro_recall,PoisonShield_vs_Anomaly_Only,0.9085970857144504,0.9053111497185108,0.003285935995939626
Android,0.01,2026,poison_removal_rate,PoisonShield_vs_No_Defense,0.9534883720930232,0.0,0.9534883720930232
Android,0.01,2026,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.9534883720930232,0.9534883720930232,0.0
Android,0.01,2026,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.9534883720930232,0.0465116279069767,0.9069767441860465
Android,0.01,2026,retention,PoisonShield_vs_No_Defense,0.9821924144310824,1.0,-0.017807585568917594
Android,0.01,2026,retention,PoisonShield_vs_Integrity_Only,0.9821924144310824,0.9893617021276596,-0.007169287696577209
Android,0.01,2026,retention,PoisonShield_vs_Anomaly_Only,0.9821924144310824,0.9507400555041629,0.031452358926919555
Android,0.05,42,accuracy,PoisonShield_vs_No_Defense,0.9215686274509804,0.925925925925926,-0.004357298474945592
Android,0.05,42,accuracy,PoisonShield_vs_Integrity_Only,0.9215686274509804,0.9248366013071896,-0.0032679738562091387
Android,0.05,42,accuracy,PoisonShield_vs_Anomaly_Only,0.9215686274509804,0.9237472766884532,-0.002178649237472796
Android,0.05,42,balanced_accuracy,PoisonShield_vs_No_Defense,0.9091596371935908,0.9098774034528964,-0.0007177662593055301
Android,0.05,42,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.9091596371935908,0.9112675065146968,-0.0021078693211059596
Android,0.05,42,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.9091596371935908,0.9091967018460776,-3.7064652486762384e-05
Android,0.05,42,macro_f1,PoisonShield_vs_No_Defense,0.907607239087984,0.9139170014191732,-0.006309762331189184
Android,0.05,42,macro_f1,PoisonShield_vs_Integrity_Only,0.907607239087984,0.9134084177014256,-0.005801178613441538
Android,0.05,42,macro_f1,PoisonShield_vs_Anomaly_Only,0.907607239087984,0.9104745259593044,-0.002867286871320429
Android,0.05,42,macro_precision,PoisonShield_vs_No_Defense,0.909024153471259,0.919280932125676,-0.010256778654416987
Android,0.05,42,macro_precision,PoisonShield_vs_Integrity_Only,0.909024153471259,0.9169979853915092,-0.007973831920250252
Android,0.05,42,macro_precision,PoisonShield_vs_Anomaly_Only,0.909024153471259,0.9147834204122824,-0.0057592669410234665
Android,0.05,42,macro_recall,PoisonShield_vs_No_Defense,0.9091596371935908,0.9098774034528964,-0.0007177662593055301
Android,0.05,42,macro_recall,PoisonShield_vs_Integrity_Only,0.9091596371935908,0.9112675065146968,-0.0021078693211059596
Android,0.05,42,macro_recall,PoisonShield_vs_Anomaly_Only,0.9091596371935908,0.9091967018460776,-3.7064652486762384e-05
Android,0.05,42,poison_removal_rate,PoisonShield_vs_No_Defense,0.9555555555555556,0.0,0.9555555555555556
Android,0.05,42,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.9555555555555556,0.9555555555555556,0.0
Android,0.05,42,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.9555555555555556,0.0488888888888888,0.9066666666666668
Android,0.05,42,retention,PoisonShield_vs_No_Defense,0.9403018197958278,1.0,-0.05969818020417217
Android,0.05,42,retention,PoisonShield_vs_Integrity_Only,0.9403018197958278,0.9471815357301376,-0.006879715934309805
Android,0.05,42,retention,PoisonShield_vs_Anomaly_Only,0.9403018197958278,0.9507323568575232,-0.010430537061695389
Android,0.05,123,accuracy,PoisonShield_vs_No_Defense,0.9226579520697168,0.920479302832244,0.002178649237472796
Android,0.05,123,accuracy,PoisonShield_vs_Integrity_Only,0.9226579520697168,0.9226579520697168,0.0
Android,0.05,123,accuracy,PoisonShield_vs_Anomaly_Only,0.9226579520697168,0.9226579520697168,0.0
