dataset,total_observations,clean_observations,poisoned_observations,clean_percentage,poisoned_percentage
CIC-MalMem-2022,58596,42202,16394,72.0219810225954,27.978018977404602
Android,11598,6117,5481,52.741852043455765,47.258147956544235
