dataset,alpha,beta,risk_threshold,threshold_percentile,validation_clean_fpr,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_pr_auc
MalMem,0.1,0.9,0.08008558390803616,0.99,0.010110584518167456,0.9961113136468587,1.0,0.9980518689881894,1.0,1.0
Android,0.1,0.9,0.08489918169496233,0.99,0.010893246187363835,0.9981768459434822,0.9989053092501369,0.9985409447382819,0.9988586040347741,0.9995319678919437
