dataset,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
MalMem,0.9672547052923476,1.0,0.983354827100141,1.0,1.0,0.013151035495948059,0.0,41647,555,0,16394
Android,0.9909502262443439,0.9989053092501369,0.9949118662547701,0.9989620391778312,0.9972083279532665,0.008173941474579042,0.0010946907498631637,6067,50,6,5475
