dataset,threshold_percentile,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
MalMem,0.95,0.42603049124788256,0.09204587044040502,0.151384430176565,0.7385937144806902,0.427587547563175,0.048173072366238565,0.907954129559595,40169,2033,14885,1509
Android,0.95,0.4280373831775701,0.04178069695311075,0.07613031914893617,0.4686820376137317,0.4426541817287768,0.05002452182442374,0.9582193030468893,5811,306,5252,229
