experiment_id,dataset,poisoning_rate,seed,defense,metric,value
PS-011,MalMem,0.01,2026,E3_Anomaly_Only,poison_removal_rate,0.1241610738255033
PS-012,MalMem,0.01,2026,E4_PoisonShield,accuracy,0.9083873005844258
PS-012,MalMem,0.01,2026,E4_PoisonShield,macro_precision,0.7759469479764602
PS-012,MalMem,0.01,2026,E4_PoisonShield,macro_recall,0.7751101879831651
PS-012,MalMem,0.01,2026,E4_PoisonShield,macro_f1,0.7754711165060395
PS-012,MalMem,0.01,2026,E4_PoisonShield,balanced_accuracy,0.7751101879831651
PS-012,MalMem,0.01,2026,E4_PoisonShield,retention,0.9767418479171552
PS-012,MalMem,0.01,2026,E4_PoisonShield,poison_removal_rate,0.9328859060402684
PS-013,MalMem,0.05,42,E1_No_Defense,accuracy,0.912494076765124
PS-013,MalMem,0.05,42,E1_No_Defense,macro_precision,0.7858230110350825
PS-013,MalMem,0.05,42,E1_No_Defense,macro_recall,0.784790110311162
PS-013,MalMem,0.05,42,E1_No_Defense,macro_f1,0.7852305363796823
PS-013,MalMem,0.05,42,E1_No_Defense,balanced_accuracy,0.784790110311162
PS-013,MalMem,0.05,42,E1_No_Defense,retention,1.0
PS-013,MalMem,0.05,42,E1_No_Defense,poison_removal_rate,0.0
PS-014,MalMem,0.05,42,E2_Integrity_Only,accuracy,0.9145474648554732
PS-014,MalMem,0.05,42,E2_Integrity_Only,macro_precision,0.7898249569656297
PS-014,MalMem,0.05,42,E2_Integrity_Only,macro_recall,0.7897996935635149
PS-014,MalMem,0.05,42,E2_Integrity_Only,macro_f1,0.7897090724374309
PS-014,MalMem,0.05,42,E2_Integrity_Only,balanced_accuracy,0.7897996935635149
PS-014,MalMem,0.05,42,E2_Integrity_Only,retention,0.9475173655775664
PS-014,MalMem,0.05,42,E2_Integrity_Only,poison_removal_rate,0.952411575562701
PS-015,MalMem,0.05,42,E3_Anomaly_Only,accuracy,0.9049123361238351
PS-015,MalMem,0.05,42,E3_Anomaly_Only,macro_precision,0.7690822125778413
PS-015,MalMem,0.05,42,E3_Anomaly_Only,macro_recall,0.7701374429161121
PS-015,MalMem,0.05,42,E3_Anomaly_Only,macro_f1,0.7696088239952001
PS-015,MalMem,0.05,42,E3_Anomaly_Only,balanced_accuracy,0.7701374429161121
PS-015,MalMem,0.05,42,E3_Anomaly_Only,retention,0.950894005659892
PS-015,MalMem,0.05,42,E3_Anomaly_Only,poison_removal_rate,0.0842443729903537
PS-016,MalMem,0.05,42,E4_PoisonShield,accuracy,0.9101247828147212
PS-016,MalMem,0.05,42,E4_PoisonShield,macro_precision,0.7810667001226334
PS-016,MalMem,0.05,42,E4_PoisonShield,macro_recall,0.7793291234063782
PS-016,MalMem,0.05,42,E4_PoisonShield,macro_f1,0.7800984522329627
PS-016,MalMem,0.05,42,E4_PoisonShield,balanced_accuracy,0.7793291234063782
PS-016,MalMem,0.05,42,E4_PoisonShield,retention,0.9349434010805248
PS-016,MalMem,0.05,42,E4_PoisonShield,poison_removal_rate,0.952411575562701
PS-017,MalMem,0.05,123,E1_No_Defense,accuracy,0.9147054177855
