dataset,alpha,beta,mean_clean_fpr,mean_precision,mean_recall,mean_f1,mean_roc_auc,mean_pr_auc
MalMem,0.0,1.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0
MalMem,0.1,0.9,0.046406003159557604,0.9825617332710358,1.0,0.9911628626602987,1.0,1.0
MalMem,0.2,0.8,0.046406003159557604,0.9825617332710358,1.0,0.9911628626602987,1.0,1.0
MalMem,0.3,0.7,0.046406003159557604,0.9825617332710358,1.0,0.9911628626602987,1.0,1.0
MalMem,0.4,0.6,0.046406003159557604,0.9825617332710358,1.0,0.9911628626602987,1.0,1.0
MalMem,0.5,0.5,0.046406003159557604,0.9825617332710358,1.0,0.9911628626602987,1.0,1.0
MalMem,0.6,0.4,0.046406003159557604,0.9825556107596574,0.9984293034036843,0.9903750473262869,0.9977727855199212,0.998929032616274
MalMem,0.7,0.3,0.046406003159557604,0.9772165861050475,0.6628492131267537,0.7552616668198422,0.9738325931673456,0.9848920914374928
MalMem,0.8,0.1999999999999999,0.046406003159557604,0.9528889393069797,0.3292668049286324,0.45371145199047325,0.92118064810441,0.9494209821030266
MalMem,0.9,0.0999999999999999,0.046406003159557604,0.9079986586452771,0.15504147858972792,0.25424169064390933,0.8402926088822616,0.8958109563373364
MalMem,1.0,0.0,0.046406003159557604,0.8490834235495239,0.0889807246553617,0.15593378989981896,0.737777451427631,0.8315638209145988
Android,0.0,1.0,1.0,0.8565400843881856,1.0,0.9227272727272728,0.9989079923157002,0.9996605406169268
Android,0.1,0.9,0.046568627450980345,0.9922839315182128,0.9989053092501368,0.995575685314467,0.998858604034774,0.9995319678919437
Android,0.2,0.8,0.046568627450980345,0.9922839315182128,0.9989053092501368,0.995575685314467,0.998858604034774,0.9995319678919437
Android,0.3,0.7,0.046568627450980345,0.9922839315182128,0.9989053092501368,0.995575685314467,0.998858604034774,0.9995319678919437
Android,0.4,0.6,0.046568627450980345,0.9922839315182128,0.9989053092501368,0.995575685314467,0.998858604034774,0.9995319678919437
Android,0.5,0.5,0.046568627450980345,0.9922839315182128,0.9989053092501368,0.995575685314467,0.9988585046619756,0.9995319345862764
Android,0.6,0.4,0.046568627450980345,0.9902195587420197,0.7939700784528371,0.8217939946265751,0.9825749797577608,0.9937742488841914
Android,0.7,0.3,0.046568627450980345,0.9758076047396249,0.4059478197409231,0.48317968554222424,0.9507967512249688,0.9812012458490472
Android,0.8,0.1999999999999999,0.046568627450980345,0.9352043420376147,0.14737274220032837,0.2280387426609605,0.8866074881776181,0.9570376521601008
Android,0.9,0.0999999999999999,0.046568627450980345,0.8745330251669082,0.05646779784710815,0.10275500374047637,0.7530341496609996,0.9126243244123872
Android,1.0,0.0,0.046568627450980345,0.8097367306421169,0.034710819193577776,0.06515438702384985,0.47064229409658,0.8377575552535896
