dataset,attack_type,Integrity,Anomaly,PoisonShield,gain_vs_integrity,gain_vs_anomaly,best_individual,best_individual_method,gain_vs_best_individual,PoisonShield_better_than_both,PoisonShield_equal_to_best
Android,backdoor_injection,0.9961832061068704,0.0536193029490616,0.969059405940594,-0.027123800166276357,0.9154401029915324,0.9961832061068704,Integrity,-0.027123800166276357,False,False
Android,feature_poisoning,0.9961832061068704,0.0553571428571428,0.969059405940594,-0.027123800166276357,0.9137022630834513,0.9961832061068704,Integrity,-0.027123800166276357,False,False
Android,gaussian_noise_injection,0.994904458598726,0.0553571428571428,0.9677819083023544,-0.02712255029637156,0.9124247654452117,0.994904458598726,Integrity,-0.02712255029637156,False,False
Android,label_flipping,0.9936224489795918,0.0501342882721575,0.966501240694789,-0.0271212082848028,0.9163669524226316,0.9936224489795918,Integrity,-0.0271212082848028,False,False
Android,missing_value_injection,0.9961832061068704,0.064,0.969059405940594,-0.027123800166276357,0.9050594059405941,0.9961832061068704,Integrity,-0.027123800166276357,False,False
Android,outlier_injection,0.9961832061068704,0.070859167404783,0.969059405940594,-0.027123800166276357,0.898200238535811,0.9961832061068704,Integrity,-0.027123800166276357,False,False
Android,sample_duplication,0.9961832061068704,0.0588235294117647,0.969059405940594,-0.027123800166276357,0.9102358765288293,0.9961832061068704,Integrity,-0.027123800166276357,False,False
MalMem,backdoor_injection,1.0,0.073959938366718,0.8940637526245466,-0.10593624737545337,0.8201038142578286,1.0,Integrity,-0.10593624737545337,False,False
MalMem,feature_poisoning,1.0,0.1068801384681955,0.8940637526245466,-0.10593624737545337,0.7871836141563511,1.0,Integrity,-0.10593624737545337,False,False
MalMem,gaussian_noise_injection,1.0,0.1319385140905209,0.8940637526245466,-0.10593624737545337,0.7621252385340257,1.0,Integrity,-0.10593624737545337,False,False
MalMem,label_flipping,1.0,0.0709876543209876,0.8940637526245466,-0.10593624737545337,0.823076098303559,1.0,Integrity,-0.10593624737545337,False,False
MalMem,missing_value_injection,1.0,0.0688589715294637,0.8940637526245466,-0.10593624737545337,0.8252047810950829,1.0,Integrity,-0.10593624737545337,False,False
MalMem,outlier_injection,1.0,0.1279418057338468,0.8940637526245466,-0.10593624737545337,0.7661219468906998,1.0,Integrity,-0.10593624737545337,False,False
MalMem,sample_duplication,1.0,0.0743838028169014,0.8940637526245466,-0.10593624737545337,0.8196799498076452,1.0,Integrity,-0.10593624737545337,False,False
