dataset,poisoning_rate,metric,comparison,n_pairs,mean_difference,median_difference,rank_biserial_effect,wilcoxon_statistic,p_value,holm_p_value,holm_reject,effect_direction,friedman_statistic,friedman_p_value,friedman_significant_05
MalMem,0.05,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.00663362436944,0.0084853549747375,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.05,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0087137240018478,-0.0100120951380533,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.05,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0084391510440551,-0.0082782925975039,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.05,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0078200026957031,0.0094051206586209,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.05,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0086947184631053,-0.0097749548228636,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.05,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0091228532654191,-0.0086809551897634,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.05,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.00663362436944,0.0084853549747375,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.05,retention,E4_PoisonShield_vs_E1_No_Defense,3,-0.0651637938427236,-0.0650565989194752,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.05,retention,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0126168424663408,-0.0126382814509904,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.05,retention,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.0158755681330932,-0.0159506045793672,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.05,poison_removal_rate,E4_PoisonShield_vs_E1_No_Defense,3,0.9541264737406218,0.952411575562701,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.793103448275861,0.0321719987149924,True
MalMem,0.05,poison_removal_rate,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0008574490889603,0.0006430868167202,1.0,0.0,0.5,0.75,False,PoisonShield_higher,8.793103448275861,0.0321719987149924,True
MalMem,0.05,poison_removal_rate,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.8662379421221865,0.8681672025723473,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.793103448275861,0.0321719987149924,True
MalMem,0.1,accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0028958037171588,-0.0026851998104563,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0030537566471857,-0.0028431527404831,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0075290896646133,0.005370399620913,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_precision,E4_PoisonShield_vs_E1_No_Defense,3,-0.0093771622036656,-0.0104748355214284,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_precision,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0061414718309991,-0.0059847988325869,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_precision,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0145865684394612,0.0089497442519979,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.0067451008661318,-0.0061796377397228,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0072264188631534,-0.0067645169678651,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0147574671102509,0.009299479727452,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0080542230113881,-0.0083514010634748,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0067239372692697,-0.0063693277715046,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.014583522245142,0.0090004764962539,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.1,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0067451008661318,-0.0061796377397228,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0072264188631534,-0.0067645169678651,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.1,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0147574671102509,0.009299479727452,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.1,retention,E4_PoisonShield_vs_E1_No_Defense,3,-0.1170520671480364,-0.1171739329128964,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.1,retention,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0119022230346606,-0.0118514456326357,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.1,retention,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.0651880287196985,-0.0650153855528136,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.1,poison_removal_rate,E4_PoisonShield_vs_E1_No_Defense,3,0.9547024172252692,0.9552102376599636,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
MalMem,0.1,poison_removal_rate,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0011172049563276,0.00091407678245,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
MalMem,0.1,poison_removal_rate,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.8613650213284584,0.8619744058500914,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
MalMem,0.2,accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0042120781340493,-0.0052124466908859,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.2,accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0032643605538882,-0.0028431527404831,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.2,accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0031064076238615,0.0030011056705101,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.2,macro_precision,E4_PoisonShield_vs_E1_No_Defense,3,-0.0175421177256731,-0.0185927482077103,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.2,macro_precision,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0063625887839167,-0.0051719686407547,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.2,macro_precision,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0006658073513186,0.0018602219724291,0.3333333333333333,2.0,0.75,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.2,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.0099481184235655,-0.0124216896308964,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.2,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0078112341684407,-0.0067573768470282,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.2,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0074575587441478,0.007203740692708,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.2,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0136153309111974,-0.0152403556781439,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.2,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0070840412624985,-0.0058695771648791,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.2,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0041389211481871,0.0045336541875974,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
MalMem,0.2,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0099481184235655,-0.0124216896308964,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
MalMem,0.2,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0078112341684407,-0.0067573768470282,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True
