dataset,attack_type,Integrity,Anomaly,PoisonShield,PoisonShield_vs_Integrity,PoisonShield_vs_Anomaly
Android,backdoor_injection,0.9961832061068703,0.05361930294906166,0.969059405940594,-0.027123800166276246,0.9154401029915323
Android,feature_poisoning,0.9961832061068703,0.055357142857142855,0.969059405940594,-0.027123800166276246,0.9137022630834511
Android,gaussian_noise_injection,0.9949044585987261,0.055357142857142855,0.9677819083023544,-0.027122550296371672,0.9124247654452116
Android,label_flipping,0.9936224489795918,0.050134288272157566,0.966501240694789,-0.0271212082848028,0.9163669524226314
Android,missing_value_injection,0.9961832061068703,0.064,0.969059405940594,-0.027123800166276246,0.9050594059405941
Android,outlier_injection,0.9961832061068703,0.070859167404783,0.969059405940594,-0.027123800166276246,0.898200238535811
Android,sample_duplication,0.9961832061068703,0.058823529411764705,0.969059405940594,-0.027123800166276246,0.9102358765288293
MalMem,backdoor_injection,1.0,0.07395993836671803,0.8940637526245466,-0.10593624737545337,0.8201038142578286
MalMem,feature_poisoning,1.0,0.10688013846819559,0.8940637526245466,-0.10593624737545337,0.7871836141563511
MalMem,gaussian_noise_injection,1.0,0.13193851409052093,0.8940637526245466,-0.10593624737545337,0.7621252385340257
MalMem,label_flipping,1.0,0.07098765432098765,0.8940637526245466,-0.10593624737545337,0.823076098303559
MalMem,missing_value_injection,1.0,0.0688589715294637,0.8940637526245466,-0.10593624737545337,0.8252047810950829
MalMem,outlier_injection,1.0,0.1279418057338468,0.8940637526245466,-0.10593624737545337,0.7661219468906998
MalMem,sample_duplication,1.0,0.0743838028169014,0.8940637526245466,-0.10593624737545337,0.8196799498076452
