dataset,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,attack_type
MalMem,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342,backdoor_injection
MalMem,0.8084225060407317,1.0,0.8940637526245466,0.9999999999999999,1.0,0.013151035495948059,0.0,41647,555,0,2342,feature_poisoning
MalMem,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342,gaussian_noise_injection
MalMem,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342,label_flipping
MalMem,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342,missing_value_injection
MalMem,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342,outlier_injection
MalMem,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342,sample_duplication
