dataset,poisoning_rate,E1_No_Defense_F1,E2_Integrity_Only_F1,E3_Anomaly_Only_F1,E4_PoisonShield_F1,PoisonShield_vs_NoDefense,PoisonShield_vs_Integrity,PoisonShield_vs_Anomaly
Android,1.0,0.913873568068716,0.910045391280147,0.9091112112642628,0.91060895410149,-0.0032646139672259933,0.0005635628213429555,0.001497742837227256
Android,5.0,0.9109950698406556,0.9106813734445456,0.90901511640498,0.9099874790703196,-0.0010075907703359643,-0.0006938943742259562,0.0009723626653396211
Android,10.0,0.9121302580984209,0.909598494751768,0.9136719572904326,0.911146600302124,-0.000983657796296833,0.0015481055503560048,-0.0025253569883085802
Android,20.0,0.9097204948894534,0.910372900368254,0.9045962466781756,0.910564297686796,0.000843802797342641,0.00019139731854200814,0.005968051008620412
MalMem,1.0,0.7848652367003863,0.787410441824854,0.7673746645866849,0.77719232303222,-0.007672913668166359,-0.010218118792634012,0.00981765844553506
MalMem,5.0,0.7897655589597496,0.7894909860019568,0.7732318322621986,0.7810518349579016,-0.008713724001848,-0.008439151044055127,0.007820002695703043
MalMem,10.0,0.7980955252306415,0.7967652394885231,0.7754577799741114,0.7900413022192533,-0.00805422301138825,-0.006723937269269786,0.014583522245141922
MalMem,20.0,0.8102869172138575,0.8037556275651586,0.792532665154473,0.7966715863026601,-0.013615330911197376,-0.007084041262498508,0.004138921148187147
