dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Android,0.0,1.0,0.9,0.0,1.0,0.8565400843881856,1.0,0.9227272727272728,0.9989079923157002,0.9996605406169268,0,918,0,5481
Android,0.0,1.0,0.95,0.0,1.0,0.8565400843881856,1.0,0.9227272727272728,0.9989079923157002,0.9996605406169268,0,918,0,5481
Android,0.0,1.0,0.975,0.0,1.0,0.8565400843881856,1.0,0.9227272727272728,0.9989079923157002,0.9996605406169268,0,918,0,5481
Android,0.0,1.0,0.99,0.0,1.0,0.8565400843881856,1.0,0.9227272727272728,0.9989079923157002,0.9996605406169268,0,918,0,5481
Android,0.1,0.9,0.9,0.0341860188091919,0.1002178649237472,0.9834740434704508,0.9989053092501368,0.9911296162201304,0.998858604034774,0.9995319678919437,826,92,6,5475
Android,0.1,0.9,0.95,0.0511285359209889,0.0501089324618736,0.9916681760550624,0.9989053092501368,0.9952735866206144,0.998858604034774,0.9995319678919437,872,46,6,5475
Android,0.1,0.9,0.975,0.0666022679256526,0.0250544662309368,0.995816660603856,0.9989053092501368,0.9973585936788414,0.998858604034774,0.9995319678919437,895,23,6,5475
Android,0.1,0.9,0.99,0.0848991816949623,0.0108932461873638,0.9981768459434822,0.9989053092501368,0.998540944738282,0.998858604034774,0.9995319678919437,908,10,6,5475
Android,0.2,0.8,0.9,0.0683720376183839,0.1002178649237472,0.9834740434704508,0.9989053092501368,0.9911296162201304,0.998858604034774,0.9995319678919437,826,92,6,5475
Android,0.2,0.8,0.95,0.1022570718419779,0.0501089324618736,0.9916681760550624,0.9989053092501368,0.9952735866206144,0.998858604034774,0.9995319678919437,872,46,6,5475
Android,0.2,0.8,0.975,0.1332045358513052,0.0250544662309368,0.995816660603856,0.9989053092501368,0.9973585936788414,0.998858604034774,0.9995319678919437,895,23,6,5475
Android,0.2,0.8,0.99,0.1697983633899246,0.0108932461873638,0.9981768459434822,0.9989053092501368,0.998540944738282,0.998858604034774,0.9995319678919437,908,10,6,5475
Android,0.3,0.7,0.9,0.1025580564275759,0.1002178649237472,0.9834740434704508,0.9989053092501368,0.9911296162201304,0.998858604034774,0.9995319678919437,826,92,6,5475
Android,0.3,0.7,0.95,0.1533856077629669,0.0501089324618736,0.9916681760550624,0.9989053092501368,0.9952735866206144,0.998858604034774,0.9995319678919437,872,46,6,5475
Android,0.3,0.7,0.975,0.1998068037769578,0.0250544662309368,0.995816660603856,0.9989053092501368,0.9973585936788414,0.998858604034774,0.9995319678919437,895,23,6,5475
Android,0.3,0.7,0.99,0.2546975450848869,0.0108932461873638,0.9981768459434822,0.9989053092501368,0.998540944738282,0.998858604034774,0.9995319678919437,908,10,6,5475
Android,0.4,0.6,0.9,0.1367440752367678,0.1002178649237472,0.9834740434704508,0.9989053092501368,0.9911296162201304,0.998858604034774,0.9995319678919437,826,92,6,5475
Android,0.4,0.6,0.95,0.2045141436839559,0.0501089324618736,0.9916681760550624,0.9989053092501368,0.9952735866206144,0.998858604034774,0.9995319678919437,872,46,6,5475
Android,0.4,0.6,0.975,0.2664090717026105,0.0250544662309368,0.995816660603856,0.9989053092501368,0.9973585936788414,0.998858604034774,0.9995319678919437,895,23,6,5475
Android,0.4,0.6,0.99,0.3395967267798493,0.0108932461873638,0.9981768459434822,0.9989053092501368,0.998540944738282,0.998858604034774,0.9995319678919437,908,10,6,5475
Android,0.5,0.5,0.9,0.1709300940459598,0.1002178649237472,0.9834740434704508,0.9989053092501368,0.9911296162201304,0.9988585046619756,0.9995319345862764,826,92,6,5475
Android,0.5,0.5,0.95,0.2556426796049449,0.0501089324618736,0.9916681760550624,0.9989053092501368,0.9952735866206144,0.9988585046619756,0.9995319345862764,872,46,6,5475
Android,0.5,0.5,0.975,0.333011339628263,0.0250544662309368,0.995816660603856,0.9989053092501368,0.9973585936788414,0.9988585046619756,0.9995319345862764,895,23,6,5475
Android,0.5,0.5,0.99,0.4244959084748116,0.0108932461873638,0.9981768459434822,0.9989053092501368,0.998540944738282,0.9988585046619756,0.9995319345862764,908,10,6,5475
Android,0.6,0.4,0.9,0.2051161128551518,0.1002178649237472,0.9834740434704508,0.9989053092501368,0.9911296162201304,0.9825749797577608,0.9937742488841914,826,92,6,5475
Android,0.6,0.4,0.95,0.3067712155259339,0.0501089324618736,0.9916681760550624,0.9989053092501368,0.9952735866206144,0.9825749797577608,0.9937742488841914,872,46,6,5475
Android,0.6,0.4,0.975,0.3996136075539157,0.0250544662309368,0.995816660603856,0.9989053092501368,0.9973585936788414,0.9825749797577608,0.9937742488841914,895,23,6,5475
Android,0.6,0.4,0.99,0.5093950901697739,0.0108932461873638,0.9899193548387096,0.1791643860609378,0.303414181986714,0.9825749797577608,0.9937742488841914,908,10,4499,982
Android,0.7,0.3,0.9,0.2393021316643437,0.1002178649237472,0.9834740434704508,0.9989053092501368,0.9911296162201304,0.9507967512249688,0.9812012458490472,826,92,6,5475
Android,0.7,0.3,0.95,0.3578997514469229,0.0501089324618736,0.9813614262560778,0.441890166028097,0.6093848282802868,0.9507967512249688,0.9812012458490472,872,46,3059,2422
Android,0.7,0.3,0.975,0.4662158754795683,0.0250544662309368,0.9655688622754492,0.11767925561029,0.2097902097902098,0.9507967512249688,0.9812012458490472,895,23,4836,645
Android,0.7,0.3,0.99,0.5767680627276075,0.0108932461873638,0.9728260869565216,0.0653165480751687,0.1224140878782698,0.9507967512249688,0.9812012458490472,908,10,5123,358
Android,0.8,0.1999999999999999,0.9,0.2734881504735357,0.1002178649237472,0.9598778892280856,0.4015690567414705,0.5662464625675327,0.8866074881776181,0.9570376521601008,826,92,3280,2201
Android,0.8,0.1999999999999999,0.95,0.4090282873679119,0.0501089324618736,0.9250814332247556,0.1036307243203795,0.1863822805578343,0.8866074881776181,0.9570376521601008,872,46,4913,568
Android,0.8,0.1999999999999999,0.975,0.5265398649823623,0.0250544662309368,0.9385026737967914,0.064039408866995,0.1198975234842015,0.8866074881776181,0.9570376521601008,895,23,5130,351
Android,0.8,0.1999999999999999,0.99,0.6591635002601229,0.0108932461873638,0.9173553719008264,0.0202517788724685,0.0396287040342734,0.8866074881776181,0.9570376521601008,908,10,5370,111
Android,0.9,0.0999999999999999,0.9,0.3076741692827277,0.1002178649237472,0.8792650918635171,0.1222404670680532,0.2146403972449143,0.7530341496609996,0.9126243244123872,826,92,4811,670
Android,0.9,0.0999999999999999,0.95,0.4493909962115284,0.0501089324618736,0.8869778869778869,0.0658638934501003,0.1226222826086956,0.7530341496609996,0.9126243244123872,872,46,5120,361
Android,0.9,0.0999999999999999,0.975,0.5923573481051576,0.0250544662309368,0.8553459119496856,0.0248129903302317,0.0482269503546099,0.7530341496609996,0.9126243244123872,895,23,5345,136
Android,0.9,0.0999999999999999,0.99,0.7415589377926384,0.0108932461873638,0.8765432098765432,0.0129538405400474,0.0255303847536857,0.7530341496609996,0.9126243244123872,908,10,5410,71
Android,1.0,0.0,0.9,0.3380384428322849,0.1002178649237472,0.8152610441767069,0.074074074074074,0.1358086636561297,0.47064229409658,0.8377575552535896,826,92,5075,406
Android,1.0,0.0,0.95,0.4993233291239204,0.0501089324618736,0.8327272727272728,0.0417806969531107,0.0795691452397498,0.47064229409658,0.8377575552535896,872,46,5252,229
Android,1.0,0.0,0.975,0.6581748312279528,0.0250544662309368,0.7870370370370371,0.0155081189563948,0.0304168903202719,0.47064229409658,0.8377575552535896,895,23,5396,85
Android,1.0,0.0,0.99,0.8239543753251537,0.0108932461873638,0.803921568627451,0.0074803867907316,0.014822848879248,0.47064229409658,0.8377575552535896,908,10,5440,41
