Dataset,Attack,Integrity,Anomaly,PoisonShield
Android,backdoor_injection,0.9961832061068704,0.0536193029490616,0.969059405940594
Android,feature_poisoning,0.9961832061068704,0.0553571428571428,0.969059405940594
Android,gaussian_noise_injection,0.994904458598726,0.0553571428571428,0.9677819083023544
Android,label_flipping,0.9936224489795918,0.0501342882721575,0.966501240694789
Android,missing_value_injection,0.9961832061068704,0.064,0.969059405940594
Android,outlier_injection,0.9961832061068704,0.070859167404783,0.969059405940594
Android,sample_duplication,0.9961832061068704,0.0588235294117647,0.969059405940594
MalMem,backdoor_injection,1.0,0.073959938366718,0.8940637526245466
MalMem,feature_poisoning,1.0,0.1068801384681955,0.8940637526245466
MalMem,gaussian_noise_injection,1.0,0.1319385140905209,0.8940637526245466
MalMem,label_flipping,1.0,0.0709876543209876,0.8940637526245466
MalMem,missing_value_injection,1.0,0.0688589715294637,0.8940637526245466
MalMem,outlier_injection,1.0,0.1279418057338468,0.8940637526245466
MalMem,sample_duplication,1.0,0.0743838028169014,0.8940637526245466
