check,status
experiment_count,PASS
unique_experiment_ids,PASS
dataset_coverage,PASS
rate_coverage,PASS
seed_coverage,PASS
defense_coverage,PASS
unique_matrix,PASS
duplicate_matrix,PASS
four_defenses_per_condition,PASS
malmem_experiments,PASS
android_experiments,PASS
